id	name	slots	damage	element	affinity	skills
8061	Veldian Sibilus I	32ー	190	37, Dragon		Slugger 2, Horn Maestro 2
8062	Sonic Horn I	ーーー	90	15, Paralysis		Protective Polish 1
8063	Sonic Horn II	ーーー	120	21, Paralysis		Protective Polish 2, Speed Sharpening 1
8064	Sonic Horn III	21ー	150	31, Paralysis		Protective Polish 2, Speed Sharpening 1
8065	Sonic Horn IV	32ー	180	37, Paralysis		Protective Polish 3, Speed Sharpening 1
8066	Glass Royale	321	200	40, Paralysis		Protective Polish 3, Speed Sharpening 2
8067	Artian Sounder I	222	170	27	5	
8068	Artian Sounder II	222	180	27	5	
8069	Omiltika	333	190	32	5	
8070	Esperanza Horn	321	210			Speed Sharpening 2, Critical Eye 2
8071	Farsounder Honga	321	240		-5, 20 Def	Slugger 2, Horn Maestro 1
8072	Resounding Galahad	321	210	40, Dragon		Slugger 2, Horn Maestro 2
